,NAME,HMDB,MEDIUM,LABEL,LAYER,UNIPROT,ENTREZ,Found in Univariate?
2,1-Methylhistidine,HMDB0000001,Urine,Significant,METABOLITE,,,Yes
3,Uric acid,HMDB0000289,Blood,Measured but not found associated,METABOLITE,,,No
5,3-Methylhistidine,HMDB0000479,Urine,Significant,METABOLITE,,,No
6,"1,5-Anhydrosorbitol",HMDB0002712,Blood,Significant,METABOLITE,,,Yes
7,3-Hydroxybutyric acid,HMDB0000011,Blood,Not Measured,METABOLITE,,,Not Measured
8,Acetoacetic acid,HMDB0000060,Blood,Significant in other medium,METABOLITE,,,in Urine
10,3-Hydroxybutyric acid,HMDB0000011,Urine,Significant,METABOLITE,,,Yes
11,4-Heptanone,HMDB0004814,Urine,Not measured,METABOLITE,,,Not Measured
12,Acetoacetic acid,HMDB0000060,Urine,Significant,METABOLITE,,,Yes
13,Acetone,HMDB0001659,Urine,Significant,METABOLITE,,,No
14,S-Adenosylmethionine,HMDB0001185,Urine,Not measured,METABOLITE,,,Not Measured
16,L-Carnitine,HMDB0000062,Urine,Significant,METABOLITE,,,No
17,Dimethylamine,HMDB0000087,Urine,Significant,METABOLITE,,,No
18,D-Glucose,HMDB0000122,Urine,Significant,METABOLITE,,,Yes
22,Glycerol,HMDB0000131,Blood,Measured but not found associated,METABOLITE,,,No
23,Chromium,HMDB0000599,Blood,Not measured,METABOLITE,,,Not Measured
24,8-Hydroxyguanine,HMDB0002032,Blood,Not measured,METABOLITE,,,Not Measured
26,Fructosamine,HMDB0002030,Blood,Not measured,METABOLITE,,,Not Measured
27,D-Lactic acid,HMDB0001311,Blood,Significant,METABOLITE,,,Yes
28,Estriol,HMDB0000153,Blood,Not measured,METABOLITE,,,Not Measured
29,scyllo-Inositol,HMDB0006088,Blood,Significant,METABOLITE,,,Measured but not found associated
31,Dodecanedioic acid,HMDB0000623,Blood,Measured but not found associated,METABOLITE,,,No
32,Hyaluronic acid,HMDB0002061,Blood,Not measured,METABOLITE,,,Not Measured
36,1-Butanol,HMDB0004327,Blood,Not measured,METABOLITE,,,Not Measured
37,(S)-3-Hydroxyisobutyric acid,HMDB0000023,Blood,Not measured,METABOLITE,,,No
38,(R)-3-Hydroxyisobutyric acid,HMDB0000336,Blood,Significant,METABOLITE,,,No
39,Pyruvaldehyde,HMDB0001167,Blood,Not measured,METABOLITE,,,Not Measured
40,Pyruvaldehyde,HMDB0001167,Urine,Not measured,METABOLITE,,,Not Measured
41,D-Fructose,HMDB0000660,Urine,Measured but not found associated,METABOLITE,,,Measured but not found associated
42,D-Fructose,HMDB0000660,Blood,Significant,METABOLITE,,,Yes
43,Quercetin,HMDB0005794,Urine,Not measured,METABOLITE,,,Not Measured
46,D-Glucose,HMDB0000122,Blood,Significant,METABOLITE,,,Yes
49,N-Methylnicotinamide,HMDB0003152,Urine,Significant,METABOLITE,,,No
50,3-Iodothyronamine,HMDB0060524,Blood,Not measured,METABOLITE,,,Not Measured
51,6-Hydroxynicotinic acid,HMDB0002658,Urine,Not measured,METABOLITE,,,Not Measured
52,Ethyl glucuronide,HMDB0010325,Urine,Not measured,METABOLITE,,,Not Measured
53,(-)-epicatechin-3'-O-glucuronide,HMDB0029164,Urine,Not measured,METABOLITE,,,Not Measured
54,3'-O-Methyl-(-)-epicatechin-5-O-sulphate,HMDB0029176,Urine,Not measured,METABOLITE,,,Not Measured
55,3'-O-Methyl-(-)-epicatechin-7-O-sulphate,HMDB0029177,Urine,Not measured,METABOLITE,,,Not Measured
56,4'-O-Methyl-(-)-epicatechin-5-O-sulphate,HMDB0029182,Urine,Not measured,METABOLITE,,,Not Measured
57,4'-O-Methyl-(-)-epicatechin-7-O-sulphate,HMDB0029184,Urine,Not measured,METABOLITE,,,Not Measured
58,"5-(3',4'-dihydroxyphenyl)-gamma-valerolactone-3'-O-glucuronide",HMDB0029190,Urine,Not measured,METABOLITE,,,Not Measured
59,5'-(3'-Methoxy-4'-hydroxyphenyl)-gamma-valerolactone,HMDB0029226,Urine,Not measured,METABOLITE,,,Not Measured
60,N-[4'-hydroxy-(E)-cinnamoyl]-L-aspartic acid,HMDB0029234,Urine,Not measured,METABOLITE,,,Not Measured
61,"5-(3',5'-Dihydroxyphenyl)-gamma-valerolactone 3-O-glucuronide",HMDB0041693,Urine,Not measured,METABOLITE,,,Not Measured
62,(-)-Epicatechin 7-O-glucuronide,HMDB0041729,Urine,Not measured,METABOLITE,,,Not Measured
63,2-Hydroxynicotinic acid,HMDB0059710,Urine,Not measured,METABOLITE,,,Not Measured
64,"4-Hydroxy-5-(3',4'-dihydroxyphenyl)-valeric acid-O-glucuronide",HMDB0059971,Urine,Not measured,METABOLITE,,,Not Measured
65,"4-Hydroxy-5-(3',5'-dihydroxyphenyl)-valeric acid-O-glucuronide",HMDB0059973,Urine,Not measured,METABOLITE,,,Not Measured
66,4-Hydroxy-5-(phenyl)-valeric acid-O-sulphate,HMDB0059981,Urine,Not measured,METABOLITE,,,Not Measured
67,"5-(3',4'-Dihydroxyphenyl)-gamma-valerolactone-4'-O-glucuronide",HMDB0059989,Urine,Not measured,METABOLITE,,,Not Measured
